nyc_zone_id,nyc_tier,casa_zone_id,casa_zone_name,casa_ae_class,weight,rationale
8,D,15,Ain Sebaa,D,0.2727272727272727,NYC tier-D -> Casa tier-D (pop-share 27.27%)
8,D,16,Sidi Bernoussi,D,0.3181818181818182,NYC tier-D -> Casa tier-D (pop-share 31.82%)
57,D,12,Hay Mohammadi,D,0.26515151515151514,NYC tier-D -> Casa tier-D (pop-share 26.52%)
57,D,13,Anfa,D,0.14393939393939395,NYC tier-D -> Casa tier-D (pop-share 14.39%)
57,D,15,Ain Sebaa,D,0.2727272727272727,NYC tier-D -> Casa tier-D (pop-share 27.27%)
57,D,16,Sidi Bernoussi,D,0.3181818181818182,NYC tier-D -> Casa tier-D (pop-share 31.82%)
251,E,5,Sbata,E,1.0,NYC tier-E -> Casa tier-E (pop-share 100.00%)
6,E,5,Sbata,E,1.0,NYC tier-E -> Casa tier-E (pop-share 100.00%)
27,E,5,Sbata,E,1.0,NYC tier-E -> Casa tier-E (pop-share 100.00%)
115,E,5,Sbata,E,1.0,NYC tier-E -> Casa tier-E (pop-share 100.00%)
253,E,5,Sbata,E,1.0,NYC tier-E -> Casa tier-E (pop-share 100.00%)
156,E,5,Sbata,E,1.0,NYC tier-E -> Casa tier-E (pop-share 100.00%)
245,E,5,Sbata,E,1.0,NYC tier-E -> Casa tier-E (pop-share 100.00%)
172,E,5,Sbata,E,1.0,NYC tier-E -> Casa tier-E (pop-share 100.00%)
30,E,5,Sbata,E,1.0,NYC tier-E -> Casa tier-E (pop-share 100.00%)
111,E,5,Sbata,E,1.0,NYC tier-E -> Casa tier-E (pop-share 100.00%)
109,E,5,Sbata,E,1.0,NYC tier-E -> Casa tier-E (pop-share 100.00%)
184,E,5,Sbata,E,1.0,NYC tier-E -> Casa tier-E (pop-share 100.00%)
176,E,5,Sbata,E,1.0,NYC tier-E -> Casa tier-E (pop-share 100.00%)
84,E,5,Sbata,E,1.0,NYC tier-E -> Casa tier-E (pop-share 100.00%)
59,E,5,Sbata,E,1.0,NYC tier-E -> Casa tier-E (pop-share 100.00%)
187,E,5,Sbata,E,1.0,NYC tier-E -> Casa tier-E (pop-share 100.00%)
204,E,5,Sbata,E,1.0,NYC tier-E -> Casa tier-E (pop-share 100.00%)
2,E,5,Sbata,E,1.0,NYC tier-E -> Casa tier-E (pop-share 100.00%)
99,E,5,Sbata,E,1.0,NYC tier-E -> Casa tier-E (pop-share 100.00%)
105,E,5,Sbata,E,1.0,NYC tier-E -> Casa tier-E (pop-share 100.00%)
199,E,5,Sbata,E,1.0,NYC tier-E -> Casa tier-E (pop-share 100.00%)
